K,Category,Precision,Recall,F1,Accuracy
10,Answer,0.7667,0.7113,0.7380,0.4898
10,Explanation,0.4886,0.4433,0.4649,0.3469
11,Answer,0.7609,0.7216,0.7407,0.4898
11,Explanation,0.4607,0.4227,0.4409,0.3061
12,Answer,0.7553,0.7320,0.7435,0.4898
12,Explanation,0.4333,0.4021,0.4171,0.2857
13,Answer,0.7500,0.7423,0.7461,0.4898
13,Explanation,0.4505,0.4227,0.4362,0.3061
14,Answer,0.7629,0.7629,0.7629,0.5102
14,Explanation,0.4239,0.4021,0.4127,0.2857
15,Answer,0.7732,0.7732,0.7732,0.5510
15,Explanation,0.4149,0.4021,0.4084,0.2857
16,Answer,0.7700,0.7938,0.7817,0.5510
16,Explanation,0.3918,0.3918,0.3918,0.2653
17,Answer,0.7500,0.7732,0.7614,0.5306
17,Explanation,0.3750,0.3711,0.3731,0.2449
18,Answer,0.8020,0.8351,0.8182,0.5918
18,Explanation,0.4271,0.4227,0.4249,0.3061
19,Answer,0.8384,0.8557,0.8469,0.6531
19,Explanation,0.4211,0.4124,0.4167,0.2653
20,Answer,0.8384,0.8557,0.8469,0.6531
20,Explanation,0.4479,0.4433,0.4456,0.3265
21,Answer,0.8431,0.8866,0.8643,0.6735
21,Explanation,0.4242,0.4330,0.4286,0.2653
22,Answer,0.8235,0.8660,0.8442,0.6327
22,Explanation,0.3711,0.3711,0.3711,0.2041
23,Answer,0.8252,0.8763,0.8500,0.6531
23,Explanation,0.3939,0.4021,0.3980,0.2653
24,Answer,0.8269,0.8866,0.8557,0.6735
24,Explanation,0.3939,0.4021,0.3980,0.2653
25,Answer,0.8529,0.8969,0.8744,0.7143
25,Explanation,0.3750,0.3711,0.3731,0.2449
26,Answer,0.8529,0.8969,0.8744,0.6939
26,Explanation,0.3830,0.3711,0.3770,0.2449
27,Answer,0.6045,0.8351,0.7013,0.6122
27,Explanation,0.3571,0.4124,0.3828,0.2857
28,Answer,0.3695,0.7732,0.5000,0.4898
28,Explanation,0.2759,0.3299,0.3005,0.1837
29,Answer,0.2077,0.6701,0.3171,0.4694
29,Explanation,0.2979,0.2887,0.2932,0.2041
30,Answer,0.1505,0.4330,0.2234,0.3673
30,Explanation,0.1176,0.1856,0.1440,0.2041
31,Answer,0.0639,0.2577,0.1025,0.1837
31,Explanation,0.1250,0.1237,0.1244,0.1224
32,Answer,0.0462,0.1959,0.0748,0.1224
32,Explanation,0.0409,0.0722,0.0522,0.0612
33,Answer,0.0230,0.1031,0.0377,0.1020
33,Explanation,0.0066,0.0206,0.0100,0.0204
