K,Question Type,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
10,single table single row,0.8000,0.8889,0.8421,0.7778,0.4545,0.5556,0.5000,0.4444,9
10,two tables single join,0.0714,0.0909,0.0800,0.0833,0.0000,0.0000,0.0000,0.0000,12
10,three tables two join,0.2727,0.2143,0.2400,0.1000,0.1000,0.0714,0.0833,0.0000,10
10,two tables single join multiple rows,0.5882,0.2857,0.3846,0.0000,0.2500,0.1143,0.1569,0.0000,8
10,single table multiple rows,0.8571,0.4286,0.5714,0.3000,0.4545,0.1786,0.2564,0.1000,10
11,single table single row,0.8000,0.8889,0.8421,0.7778,0.4000,0.4444,0.4211,0.3333,9
11,two tables single join,0.1333,0.1818,0.1538,0.1667,0.0000,0.0000,0.0000,0.0000,12
11,three tables two join,0.1000,0.0714,0.0833,0.0000,0.1000,0.0714,0.0833,0.0000,10
11,two tables single join multiple rows,0.5882,0.2857,0.3846,0.0000,0.0000,0.0000,0.0000,0.0000,8
11,single table multiple rows,0.8125,0.4643,0.5909,0.3000,0.2143,0.1071,0.1429,0.0000,10
12,single table single row,0.8000,0.8889,0.8421,0.7778,0.5000,0.5556,0.5263,0.4444,9
12,two tables single join,0.0714,0.0909,0.0800,0.0833,0.0000,0.0000,0.0000,0.0000,12
12,three tables two join,0.1818,0.1429,0.1600,0.0000,0.1000,0.0714,0.0833,0.0000,10
12,two tables single join multiple rows,0.7059,0.3429,0.4615,0.0000,0.0000,0.0000,0.0000,0.0000,8
12,single table multiple rows,0.7500,0.4286,0.5455,0.3000,0.2000,0.1071,0.1395,0.0000,10
10,single table single row,0.8000,0.8889,0.8421,0.7778,0.4545,0.5556,0.5000,0.4444,9
10,two tables single join,0.0714,0.0909,0.0800,0.0833,0.0000,0.0000,0.0000,0.0000,12
10,three tables two join,0.2727,0.2143,0.2400,0.1000,0.1000,0.0714,0.0833,0.0000,10
10,two tables single join multiple rows,0.5882,0.2857,0.3846,0.0000,0.2500,0.1143,0.1569,0.0000,8
10,single table multiple rows,0.8571,0.4286,0.5714,0.3000,0.4545,0.1786,0.2564,0.1000,10
11,single table single row,0.8000,0.8889,0.8421,0.7778,0.4000,0.4444,0.4211,0.3333,9
11,two tables single join,0.1333,0.1818,0.1538,0.1667,0.0000,0.0000,0.0000,0.0000,12
11,three tables two join,0.1000,0.0714,0.0833,0.0000,0.1000,0.0714,0.0833,0.0000,10
11,two tables single join multiple rows,0.5882,0.2857,0.3846,0.0000,0.0000,0.0000,0.0000,0.0000,8
11,single table multiple rows,0.8125,0.4643,0.5909,0.3000,0.2143,0.1071,0.1429,0.0000,10
12,single table single row,0.8000,0.8889,0.8421,0.7778,0.5000,0.5556,0.5263,0.4444,9
12,two tables single join,0.0714,0.0909,0.0800,0.0833,0.0000,0.0000,0.0000,0.0000,12
12,three tables two join,0.1818,0.1429,0.1600,0.0000,0.1000,0.0714,0.0833,0.0000,10
12,two tables single join multiple rows,0.7059,0.3429,0.4615,0.0000,0.0000,0.0000,0.0000,0.0000,8
12,single table multiple rows,0.7500,0.4286,0.5455,0.3000,0.2000,0.1071,0.1395,0.0000,10
10,single table single row,0.8000,0.8889,0.8421,0.7778,0.4545,0.5556,0.5000,0.4444,9
10,two tables single join,0.0714,0.0909,0.0800,0.0833,0.0000,0.0000,0.0000,0.0000,12
10,three tables two join,0.2727,0.2143,0.2400,0.1000,0.1000,0.0714,0.0833,0.0000,10
10,two tables single join multiple rows,0.5882,0.2857,0.3846,0.0000,0.2500,0.1143,0.1569,0.0000,8
10,single table multiple rows,0.8571,0.4286,0.5714,0.3000,0.4545,0.1786,0.2564,0.1000,10
11,single table single row,0.8000,0.8889,0.8421,0.7778,0.4000,0.4444,0.4211,0.3333,9
11,two tables single join,0.1333,0.1818,0.1538,0.1667,0.0000,0.0000,0.0000,0.0000,12
11,three tables two join,0.1000,0.0714,0.0833,0.0000,0.1000,0.0714,0.0833,0.0000,10
11,two tables single join multiple rows,0.5882,0.2857,0.3846,0.0000,0.0000,0.0000,0.0000,0.0000,8
11,single table multiple rows,0.8125,0.4643,0.5909,0.3000,0.2143,0.1071,0.1429,0.0000,10
12,single table single row,0.8000,0.8889,0.8421,0.7778,0.5000,0.5556,0.5263,0.4444,9
12,two tables single join,0.0714,0.0909,0.0800,0.0833,0.0000,0.0000,0.0000,0.0000,12
12,three tables two join,0.1818,0.1429,0.1600,0.0000,0.1000,0.0714,0.0833,0.0000,10
12,two tables single join multiple rows,0.7059,0.3429,0.4615,0.0000,0.0000,0.0000,0.0000,0.0000,8
12,single table multiple rows,0.7500,0.4286,0.5455,0.3000,0.2000,0.1071,0.1395,0.0000,10
13,single table single row,0.8889,0.8889,0.8889,0.7778,0.4444,0.4444,0.4444,0.3333,9
13,two tables single join,0.0714,0.0909,0.0800,0.0833,0.0000,0.0000,0.0000,0.0000,12
13,three tables two join,0.2308,0.2143,0.2222,0.1000,0.2000,0.1429,0.1667,0.0000,10
13,two tables single join multiple rows,0.5455,0.1714,0.2609,0.0000,0.0000,0.0000,0.0000,0.0000,8
13,single table multiple rows,0.7857,0.3929,0.5238,0.3000,0.3077,0.1429,0.1951,0.0000,10
14,single table single row,0.8889,0.8889,0.8889,0.7778,0.3333,0.3333,0.3333,0.2222,9
14,two tables single join,0.0714,0.0909,0.0800,0.0833,0.0000,0.0000,0.0000,0.0000,12
14,three tables two join,0.1818,0.1429,0.1600,0.0000,0.1000,0.0714,0.0833,0.0000,10
14,two tables single join multiple rows,0.7143,0.2857,0.4082,0.0000,0.0000,0.0000,0.0000,0.0000,8
14,single table multiple rows,0.7857,0.3929,0.5238,0.3000,0.3636,0.1429,0.2051,0.0000,10
15,single table single row,0.8889,0.8889,0.8889,0.7778,0.4444,0.4444,0.4444,0.3333,9
15,two tables single join,0.0714,0.0909,0.0800,0.0833,0.0000,0.0000,0.0000,0.0000,12
15,three tables two join,0.1818,0.1429,0.1600,0.0000,0.0909,0.0714,0.0800,0.0000,10
15,two tables single join multiple rows,0.7143,0.2857,0.4082,0.0000,0.0000,0.0000,0.0000,0.0000,8
15,single table multiple rows,0.7857,0.3929,0.5238,0.3000,0.3333,0.1429,0.2000,0.0000,10
16,single table single row,0.6667,0.6667,0.6667,0.5556,0.5556,0.5556,0.5556,0.2222,9
16,two tables single join,0.1429,0.1818,0.1600,0.1667,0.0000,0.0000,0.0000,0.0000,12
16,three tables two join,0.3333,0.2857,0.3077,0.1000,0.1818,0.1429,0.1600,0.0000,10
16,two tables single join multiple rows,0.7143,0.2857,0.4082,0.0000,0.0000,0.0000,0.0000,0.0000,8
16,single table multiple rows,0.7857,0.3929,0.5238,0.3000,0.2143,0.1071,0.1429,0.0000,10
17,single table single row,0.6000,0.6667,0.6316,0.5556,0.5000,0.5556,0.5263,0.2222,9
17,two tables single join,0.1429,0.1818,0.1600,0.1667,0.0000,0.0000,0.0000,0.0000,12
17,three tables two join,0.3333,0.2857,0.3077,0.1000,0.1111,0.0714,0.0870,0.0000,10
17,two tables single join multiple rows,0.7059,0.3429,0.4615,0.0000,0.0000,0.0000,0.0000,0.0000,8
17,single table multiple rows,0.7857,0.3929,0.5238,0.3000,0.2857,0.1429,0.1905,0.0000,10
18,single table single row,0.8000,0.8889,0.8421,0.7778,0.5000,0.5556,0.5263,0.4444,9
18,two tables single join,0.0769,0.0909,0.0833,0.0833,0.0000,0.0000,0.0000,0.0000,12
18,three tables two join,0.3333,0.2857,0.3077,0.1000,0.2000,0.1429,0.1667,0.0000,10
18,two tables single join multiple rows,0.7059,0.3429,0.4615,0.0000,0.0000,0.0000,0.0000,0.0000,8
18,single table multiple rows,0.8462,0.3929,0.5366,0.3000,0.2500,0.1071,0.1500,0.0000,10
19,single table single row,0.6000,0.6667,0.6316,0.5556,0.3636,0.4444,0.4000,0.1111,9
19,two tables single join,0.0769,0.0909,0.0833,0.0833,0.0000,0.0000,0.0000,0.0000,12
19,three tables two join,0.3333,0.2857,0.3077,0.1000,0.1000,0.0714,0.0833,0.0000,10
19,two tables single join multiple rows,0.7143,0.2857,0.4082,0.0000,0.0000,0.0000,0.0000,0.0000,8
19,single table multiple rows,0.7143,0.3571,0.4762,0.2000,0.3636,0.1429,0.2051,0.0000,10
20,single table single row,0.7000,0.7778,0.7368,0.6667,0.4545,0.5556,0.5000,0.3333,9
20,two tables single join,0.0769,0.0909,0.0833,0.0833,0.0000,0.0000,0.0000,0.0000,12
20,three tables two join,0.3333,0.2857,0.3077,0.1000,0.1000,0.0714,0.0833,0.0000,10
