Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
three tables two joins,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11
two tables single join multiple rows,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join,1,0.1429,0.1000,0.1176,0.2000,0.1250,0.0500,0.0714,0.1000,10
two tables single join,2,0.1667,0.1000,0.1250,0.2000,0.1667,0.0500,0.0769,0.1000,10
two tables single join,3,0.1667,0.1000,0.1250,0.2000,0.1429,0.0500,0.0741,0.1000,10
two tables single join,4,0.1667,0.1000,0.1250,0.2000,0.1250,0.0500,0.0714,0.1000,10
two tables single join,5,0.1667,0.1000,0.1250,0.2000,0.1250,0.0500,0.0714,0.1000,10
single table single row,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
single table single row,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
single table single row,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
single table single row,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
single table single row,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
single table multiple rows,1,0.3043,0.1373,0.1892,0.0000,0.2000,0.0784,0.1127,0.0000,9
single table multiple rows,2,0.3200,0.1569,0.2105,0.0000,0.5556,0.0980,0.1667,0.0000,9
single table multiple rows,3,0.3478,0.1569,0.2162,0.0000,0.5000,0.0784,0.1356,0.0000,9
single table multiple rows,4,0.3750,0.1765,0.2400,0.0000,0.3333,0.1176,0.1739,0.0000,9
single table multiple rows,5,0.5333,0.1569,0.2424,0.0000,0.5000,0.0980,0.1639,0.0000,9
